selamat malam	Good night
Selamat tengah hari	Good Afternoon
kepunyaan dia	his/her
Selamat pagi	Good morning
Selamat petang	Good Evening
ialah	to be
kepunyaan saya	My
Salam sejahtera	Hello
Bahasa Inggeris	English
Bahasa Cina	Chinese
Tidak	No
tahu	to know
Ya	Yes
Selamat tinggal	Good bye
Bahasa Sepanyol	Spanish
kepunyaan kamu	your
anda	you
Terima kasih banyak-banyak	Thank you very much
nama	name
memahami	to understand
saya	I
apakah	what
sila	please
Nama saya ialah Steven	My name is Steven.
Apakah nama dia?	What is his name
Nama dia ialah Steven.	His name is Steven.
Apakah nama kamu?	What is your name?
Adakah kamu tahu?	Do you know?
Adakah kamu faham?	Do you understand?
Saya faham	I understand
Saya tidak faham	I don't understand
Saya tidak tahu.	I don't know
Saya tidak faham bahasa Cina.	I do not understand Chinese.
Sila bertutur dalam bahasa Cina.	In Chinese please.
Saya tidak tahu nama dia.	I do not know his/her name.
Saya tidak faham bahasa Sepanyol.	I don't understand Spanish
Sila bertutur dalam bahasa Inggeris.	In English Please.
Saya tidak faham bahasa cina	I don't understand Chinese
Ya, terima kasih.	Yes Please
Maafkan saya.	Sorry
Sama-sama.	You're Welcome
kereta	Car
Tidak, terima kasih.	No thanks.
Tiada masalah.	No Problem.
tatabahasa	Grammar
makan	To eat
dia	she
memberi	to give
telefon	phone
dia	He or Her
betul	correct
salah	wrong
makanan	food
duduk	To sit
siapa	Who
kepada dia	him
besar	big
amat	very
menolong	to help
kecil	small
kepada dia	Her
Kereta itu kecil.	The car is small
Kereta itu besar.	The car is big.
Sila memberi itu kepadanya.	Please give it to her/him
Dia amat besar.	He is very big
Sila memberi kereta itu kepadanya.	Please give the car to her.
Adakah kamu faham?	Did you understand?
Saya telah memberikan ia kepadanya.	I gave it to her.
Saya faham.	I understand
Kepada siapa telah kamu berikan makanan itu?	Who did you give the food to?
Kepada siapa telah kamu berikan telefon itu?	Who did you give the phone to?
Tatabahasa kamu adalah betul.	Your Grammar is correct.
Tatabahasa kamu adalah salah.	Your correct is wrong.
Sila tolong dengan tatabahasa saya.	lit. Please help my grammar [Please help me fix my grammar]
Sila tolong dengan bahasa Inggeris saya.	Please help my English
Adakah tatabahasa saya salah?	Is my grammar wrong?
Adakah tatabahasa saya betul?	Is my grammar correct?
Saya tidak faham bahasa Sepanyol.	I do not understand Spanish.
Sila bertutur dalam bahasa Inggeris.	In English Please.
Saya tidak tahu nama dia.	I do not know his/her name.
Saya tidak faham bahasa Cina.	I do not understand Chinese.
Sila bertutur dalam bahasa Cina.	In Chinese Please.
Terima kasih untuk makanan itu.	Thank you for the food.
Sila tolong.	Please help.
Sila makan.	Please eat.
Terima kasih untuk telefon itu.	Thank you for the phone.
Saya tidak faham.	I do not understand.
Sila duduk.	Please sit.
air	Water
Orang Jerman	German (people)
Orang Eropah	European
bercakap	to speak/to say
Minta maaf.	Sorry.
Orang Amerika	American
Orang Cina	Chinese
Apa khabar?	How are you?
sedikit	A little
baik	fine
lapar	hungry
mengantuk	sleepy
sebutan	pronunciation
sekali lagi	Again
kenyang	Full
ok	okay
susah	hard
mahu	To want
haus	thirsty
pertolongan	Help
senang	easy
letih	Tired
Saya tidak tahu bertutur dalam bahasa Inggeris.	I do not speak English.
Saya ialah orang Amerika.	I am American
Saya sedikit lapar.	I'm a little hungry
Saya haus.	I am thirsty.
Khabar baik.	I am fine.
Saya sedikit letih.	I'm a little tired
Saya kenyang.	I am full.
Saya ingin bertutur dalam bahasa Sepanyol.	I want to speak Spanish.
Apa yang kamu inginkan?	What do you want?
Saya tidak mahu air.	I do not want water.
Adakah kamu perlukan pertolongan?	Do you want help?
Sila katakannya dalam bahasa Cina.	Please say it in Chinese.
Sila bertutur dalam bahasa Cina.	Please speak in Chinese
Ya, saya mahu makanan.	Yes, I want food,
Sebutan bahasa inggeris adalah lebih susah.	English pronunciation is a little hard.
Sila katakan sekali lagi.	Please say it again.
Saya faham sedikit bahasa Cina.	I understand a little Chinese.
Apakah yang telah kamu katakan?	What did you say?
Sila bercakap.	Please speak.
Sila ulang sekali lagi.	Again please.
Sebutan bahasa Inggeris adalah lebih senang.	English pronunciation is a little easy.
Adakah kamu lapar?	Are you hungry?
Adakah kamu mengantuk?	Are you sleepy?
Adakah kamu orang Cina?	Are you Chinese?
Terima kasih atas pertolongan anda.	Thank you for the help.
Saya hendak makan sedikit.	I want to eat a little.
Saya tidak mahu makan.	I do not want to eat.
Inginkah kamu makan?	Do you want to eat?
kepunyaan siapa	Whose
saya	Me
berus gigi	toothpaste
tandas	Bathroom
menerima	to have
sedap	delicious
kepunyaan saya	Mine
di mana	Where?
boleh	may do
kepunyaan Erica	Erica's (possessive)
berhenti	berhenti
hotel	Hotel
ini	This
itu	That
kepunyaan Ken	Ken's
Selamat berkenalan	Nice to meet you.
baik	good
sini	Here
tidak sedap	Bad
situ	there
mengguna	To Use
merasa	To taste
lelaki	Man
bagaimana	How
wanita	Woman
Itu adalah kepunyaan saya.	That is mine.
Saya hendak menggunakan telefon itu.	I want to use the phone.
Apa yang hendak kamu makan?	What do you want to eat?
Bolehkah saya menggunakan itu?	May I please use that?
Saya hendak memakan telefon itu.	I want to eat the phone.
Apa yang hendak kamu guna?	What do you want to use?
Bolehkah saya menerima itu?	May I please have that?
Itu Erica.	That is Erica.
Ini Erica.	This is Erica.
Adakah ia sedap?	Is it delicious?
Bagaimana?	How was it?
Siapakah itu?	Who is that?
Tandas berada di sana.	There is the bathroom.
Di manakah tandas lelaki?	Where is the men’s bathroom please?
Tandas berada di sini.	Here is the bathroom.
Di manakah tandas perempuan?	Where is the women's bathroom please?
Apakah itu?	What is that?
Itu ialah tandas.	That is a bathroom.
Makanan ini kepunyaan Erica.	This food is Erica’s.
